id,predicted_positions
0,"[8, 10, 12]"
1,"[1, 6, 7, 10]"
2,"[4, 12, 20, 21]"
3,"[5, 16, 18]"
4,"[5, 10]"
5,[7]
6,"[10, 14]"
7,"[12, 15]"
8,"[6, 13]"
9,[9]
10,[11]
11,"[5, 7, 18]"
12,"[6, 12]"
13,[11]
14,"[1, 13, 22]"
15,"[4, 21]"
16,[]
17,"[3, 10]"
18,"[5, 17]"
19,"[5, 9]"
20,"[3, 6, 13]"
21,"[1, 4, 7, 12]"
22,[11]
23,[8]
24,"[5, 10, 12, 18]"
25,"[5, 16]"
26,"[10, 11, 17]"
27,"[6, 15]"
28,"[8, 15, 21]"
29,"[1, 10, 17]"
30,"[5, 11]"
31,[9]
32,"[3, 4, 8, 14]"
33,"[4, 12, 13, 19]"
34,[16]
35,[1]
36,"[5, 9, 12, 20]"
37,[6]
38,"[1, 13, 15]"
39,"[1, 4, 7, 14]"
40,[14]
41,"[11, 19]"
42,"[5, 10]"
43,[7]
44,[9]
45,"[1, 4, 5, 6, 12]"
46,[5]
47,"[9, 16, 17]"
48,"[5, 10]"
49,"[5, 11, 15]"
50,[9]
51,"[6, 7, 10]"
52,[5]
53,"[3, 10, 12]"
54,[5]
55,"[8, 10, 12, 15]"
56,"[1, 7, 10, 13]"
57,[8]
58,"[8, 15, 21]"
59,"[3, 10, 21]"
60,"[5, 9, 12]"
61,[10]
62,"[6, 10, 22]"
63,"[1, 4, 6, 15]"
64,[16]
65,[4]
66,"[5, 15, 19, 21]"
67,"[10, 14]"
68,"[1, 13, 15, 23]"
69,"[1, 4, 11, 12]"
70,"[11, 12]"
71,[9]
72,"[5, 9]"
73,[11]
74,"[11, 23]"
75,"[1, 4, 9]"
76,[9]
77,"[3, 4]"
78,"[5, 10, 12]"
79,"[7, 18]"
80,"[6, 10, 13]"
81,"[6, 12]"
82,"[5, 16]"
83,"[9, 17, 19]"
84,"[5, 11]"
85,"[10, 12]"
86,"[3, 10, 13]"
87,"[4, 12]"
88,[10]
89,"[3, 10, 19]"
90,"[7, 10]"
91,[8]
92,"[3, 10, 12, 16]"
93,"[1, 4, 6, 12]"
94,[9]
95,"[9, 11]"
96,"[5, 7, 16]"
97,"[9, 11]"
98,"[10, 12]"
99,"[6, 11, 16, 22, 23]"
100,"[1, 7, 14, 25]"
101,"[5, 13, 15, 22]"
102,"[8, 11, 14, 19]"
103,"[3, 14, 25, 32]"
104,"[1, 4, 12, 18]"
105,"[7, 9, 12, 20]"
106,"[1, 9, 12, 24, 29, 30]"
107,"[5, 14, 16, 22, 30]"
108,"[10, 15, 16]"
109,"[3, 10, 19]"
110,"[1, 4, 9, 10, 17]"
111,"[12, 22, 25]"
112,"[9, 10, 15]"
113,"[5, 13, 19]"
114,"[5, 20]"
115,"[3, 17, 24]"
116,"[4, 10, 20]"
117,"[14, 23, 30]"
118,"[1, 13, 24]"
119,"[5, 12, 18, 26]"
120,"[5, 11, 12, 17]"
121,"[8, 9, 12, 16, 21, 22]"
122,"[1, 4, 5, 6, 12, 14, 19]"
123,"[6, 15]"
124,"[9, 11, 19]"
125,"[5, 12, 20, 27]"
126,"[7, 8, 25, 27]"
127,"[3, 10, 15]"
128,"[1, 4, 12, 13, 20]"
129,"[5, 14, 21]"
130,"[12, 19]"
131,"[5, 17, 25, 26]"
132,"[7, 9, 12, 19]"
133,"[3, 4, 11, 13]"
134,"[1, 9, 11]"
135,"[9, 11, 19, 25]"
136,"[3, 14, 15]"
137,"[5, 9, 11, 17]"
138,"[5, 14]"
139,[14]
140,"[1, 4, 10, 15, 17]"
141,"[9, 13, 22]"
142,"[12, 14]"
143,"[5, 11, 18]"
144,"[5, 12, 16]"
145,"[13, 20]"
146,"[4, 8, 10, 17, 21]"
147,"[7, 8, 20]"
148,[14]
149,"[5, 16]"
150,"[10, 11, 25]"
151,[11]
152,"[1, 4, 13, 18]"
153,"[5, 11, 15]"
154,"[8, 14]"
155,"[5, 14]"
156,"[8, 12, 14]"
157,"[7, 8, 14]"
158,"[4, 5, 10, 12]"
159,"[5, 14, 17]"
160,"[1, 5, 13]"
161,"[5, 13]"
162,[11]
163,[]
164,"[4, 10, 11, 18]"
165,"[7, 14]"
166,"[1, 13, 14]"
167,"[5, 10]"
168,"[8, 14]"
169,[12]
170,"[1, 9, 15, 17]"
171,[5]
172,"[6, 13, 15]"
173,"[5, 9, 11]"
174,[8]
175,"[1, 7, 12, 19]"
176,"[1, 4, 5, 6, 13, 19]"
177,"[3, 5, 14, 19, 22]"
178,"[5, 10, 13]"
179,"[5, 9]"
180,"[12, 18]"
